תקופה,שם לקוח,מקט,שם פריט,כמות,מחיר,מחיר תקליט,סהכ לפריט
אוקטובר 2025,פאט ויני חדרה,400,"גזר,קג",2.5,3.66,כן,9.16
אוקטובר 2025,פאט ויני חדרה,400,"גזר,קג",7.5,3.87,כן,29.05
אוקטובר 2025,פאט ויני חדרה,79,"זוקיני,קג",1,9.43,כן,9.43
אוקטובר 2025,פאט ויני חדרה,79,"זוקיני,קג",1,9.64,כן,9.64
אוקטובר 2025,פאט ויני חדרה,79,"זוקיני,קג",1,10.12,כן,10.12
אוקטובר 2025,פאט ויני חדרה,79,"זוקיני,קג",1,13.11,כן,13.11
אוקטובר 2025,פאט ויני חדרה,1761,"חסה לאליק מהדרין,נספאק",320,8.8,לא,2816
אוקטובר 2025,פאט ויני חדרה,1663,"חסה קיסר זוג מהדרין,נספאק",710,8.5,לא,6035
אוקטובר 2025,פאט ויני חדרה,1381,"חציל,קג",19,6.86,כן,130.47
אוקטובר 2025,פאט ויני חדרה,1381,"חציל,קג",10,6.97,כן,69.72
אוקטובר 2025,פאט ויני חדרה,1381,"חציל,קג",12,7.28,כן,87.44
אוקטובר 2025,פאט ויני חדרה,1381,"חציל,קג",9,7.33,כן,66.05
אוקטובר 2025,פאט ויני חדרה,1381,"חציל,קג",18,8.17,כן,147.23
אוקטובר 2025,פאט ויני חדרה,260,"טימין מהדרין,חבילה",17,4.9,לא,83.3
אוקטובר 2025,פאט ויני חדרה,156,"כרישה/פרסה,קג",50,14.16,כן,708.22
אוקטובר 2025,פאט ויני חדרה,1685,"לימון סוג א,קג",42,12.06,כן,506.7
אוקטובר 2025,פאט ויני חדרה,127,"מיקס בייבי מהדרין,קג",6.5,25,לא,162.5
אוקטובר 2025,פאט ויני חדרה,1074,"מלפפון,קג",8,5.71,כן,45.69
אוקטובר 2025,פאט ויני חדרה,1074,"מלפפון,קג",12,6.23,כן,74.84
אוקטובר 2025,פאט ויני חדרה,1074,"מלפפון,קג",17,6.44,כן,109.59
אוקטובר 2025,פאט ויני חדרה,1074,"מלפפון,קג",25,6.49,כן,162.48
אוקטובר 2025,פאט ויני חדרה,1074,"מלפפון,קג",23,6.91,כן,159.14
אוקטובר 2025,פאט ויני חדרה,135,"נענע מהדרין,חבילה",90,4.5,לא,405
אוקטובר 2025,פאט ויני חדרה,1458,"נענע מהדרין,קג",0.5,19,לא,9.5
אוקטובר 2025,פאט ויני חדרה,1569,"נקטרינה לבנה,קג",2,22.03,כן,44.07
